FCFS Simulation Log
Date: Tue Dec  9 06:18:32 2025
Time Limit: 1000 ms
Books: 71, Members: 20

========== GENERATED ACTIONS ==========
Action 1: AT=0.00 ms, Type=ISSUE
Action 2: AT=0.00 ms, Type=REQUEST
Action 3: AT=0.60 ms, Type=REQUEST
Action 4: AT=0.60 ms, Type=APPROVE
Action 5: AT=1.30 ms, Type=ISSUE
Action 6: AT=1.30 ms, Type=ISSUE
Action 7: AT=1.30 ms, Type=REQUEST
Action 8: AT=2.30 ms, Type=REQUEST
Action 9: AT=2.30 ms, Type=APPROVE
Action 10: AT=3.30 ms, Type=ISSUE
Action 11: AT=3.30 ms, Type=RETURN
Action 12: AT=3.30 ms, Type=ISSUE
Action 13: AT=3.90 ms, Type=REQUEST
Action 14: AT=3.90 ms, Type=REQUEST
Action 15: AT=4.70 ms, Type=RETURN
Action 16: AT=5.30 ms, Type=REQUEST
Action 17: AT=5.90 ms, Type=RETURN
Action 18: AT=5.90 ms, Type=RETURN
Action 19: AT=5.90 ms, Type=RETURN
Action 20: AT=6.40 ms, Type=ISSUE
Action 21: AT=7.20 ms, Type=ISSUE
Action 22: AT=8.20 ms, Type=ISSUE
Action 23: AT=8.70 ms, Type=REQUEST
Action 24: AT=8.70 ms, Type=REQUEST
Action 25: AT=9.20 ms, Type=ISSUE
Action 26: AT=9.20 ms, Type=ISSUE
Action 27: AT=9.80 ms, Type=RETURN
Action 28: AT=9.80 ms, Type=APPROVE
Action 29: AT=9.80 ms, Type=ISSUE
Action 30: AT=10.60 ms, Type=APPROVE
Action 31: AT=10.60 ms, Type=REQUEST
Action 32: AT=10.60 ms, Type=REQUEST
Action 33: AT=11.20 ms, Type=REQUEST
Action 34: AT=11.20 ms, Type=ISSUE
Action 35: AT=11.80 ms, Type=RETURN
Action 36: AT=11.80 ms, Type=APPROVE
Action 37: AT=11.80 ms, Type=ISSUE
Action 38: AT=12.70 ms, Type=APPROVE
Action 39: AT=13.50 ms, Type=ISSUE
Action 40: AT=13.50 ms, Type=APPROVE
Action 41: AT=13.50 ms, Type=REQUEST
Action 42: AT=14.50 ms, Type=REQUEST
Action 43: AT=15.10 ms, Type=ISSUE
Action 44: AT=16.00 ms, Type=ISSUE
Action 45: AT=17.00 ms, Type=ISSUE
Action 46: AT=17.00 ms, Type=APPROVE
Action 47: AT=17.00 ms, Type=APPROVE
Action 48: AT=17.60 ms, Type=RETURN
Action 49: AT=18.50 ms, Type=ISSUE
Action 50: AT=19.30 ms, Type=REQUEST
Action 51: AT=19.30 ms, Type=APPROVE
Action 52: AT=19.30 ms, Type=RETURN
Action 53: AT=20.30 ms, Type=RETURN
Action 54: AT=21.30 ms, Type=ISSUE
Action 55: AT=21.30 ms, Type=ISSUE
Action 56: AT=21.30 ms, Type=REQUEST
Action 57: AT=22.10 ms, Type=ISSUE
Action 58: AT=22.90 ms, Type=RETURN
Action 59: AT=23.60 ms, Type=ISSUE
Action 60: AT=23.60 ms, Type=RETURN
Action 61: AT=24.60 ms, Type=ISSUE
Action 62: AT=24.60 ms, Type=RETURN
Action 63: AT=24.60 ms, Type=APPROVE
Action 64: AT=25.50 ms, Type=APPROVE
Action 65: AT=26.50 ms, Type=ISSUE
Action 66: AT=27.20 ms, Type=RETURN
Action 67: AT=27.20 ms, Type=RETURN
Action 68: AT=27.70 ms, Type=REQUEST
Action 69: AT=27.70 ms, Type=ISSUE
Action 70: AT=27.70 ms, Type=REQUEST
Action 71: AT=28.40 ms, Type=RETURN
Action 72: AT=29.20 ms, Type=REQUEST
Action 73: AT=30.20 ms, Type=ISSUE
Action 74: AT=30.20 ms, Type=APPROVE
Action 75: AT=30.80 ms, Type=APPROVE
Action 76: AT=31.80 ms, Type=APPROVE
Action 77: AT=32.80 ms, Type=REQUEST
Action 78: AT=32.80 ms, Type=APPROVE
Action 79: AT=32.80 ms, Type=APPROVE
Action 80: AT=33.50 ms, Type=ISSUE
Action 81: AT=33.50 ms, Type=ISSUE
Action 82: AT=34.40 ms, Type=RETURN
Action 83: AT=34.40 ms, Type=RETURN
Action 84: AT=35.30 ms, Type=ISSUE
Action 85: AT=36.00 ms, Type=APPROVE
Action 86: AT=36.00 ms, Type=ISSUE
Action 87: AT=36.00 ms, Type=REQUEST
Action 88: AT=36.50 ms, Type=REQUEST
Action 89: AT=36.50 ms, Type=RETURN
Action 90: AT=36.50 ms, Type=RETURN
Action 91: AT=37.30 ms, Type=ISSUE
Action 92: AT=37.30 ms, Type=ISSUE
Action 93: AT=37.30 ms, Type=RETURN
Action 94: AT=38.20 ms, Type=RETURN
Action 95: AT=39.00 ms, Type=REQUEST
Action 96: AT=39.00 ms, Type=RETURN
Action 97: AT=39.00 ms, Type=ISSUE
Action 98: AT=40.00 ms, Type=RETURN
Action 99: AT=40.00 ms, Type=REQUEST
Action 100: AT=40.00 ms, Type=REQUEST
Action 101: AT=40.60 ms, Type=APPROVE
Action 102: AT=40.60 ms, Type=APPROVE
Action 103: AT=40.60 ms, Type=REQUEST
Action 104: AT=41.60 ms, Type=RETURN
